ProductID,ProductName,Category,Brand,SupplierID,CostPrice,SellingPrice,StockQuantity,Rating,Warranty,Weight(kg),LaunchDate,Profit,Discount
101768,Bajaj Novel,Books,Bajaj,5102,39356,52820.65,24,3.8,1 Year,17.54,2022-01-07,13464.65,20
101103,Logitech Speaker,Electronics,Logitech,5136,21992,24420.21,498,4.7,6 Months,20.44,2019-02-09,2428.21,25
101107,Havells Badminton Racket,Sports,Havells,5248,43611,66658.46,461,2.8,3 Years,21.9,2019-03-26,23047.46,20
100793,Apple SQL Book,Books,Apple,5265,29104,34132.94,5,4.9,No Warranty,,2023-07-04,5028.94,15
101059,Logitech Vacuum Cleaner,Home Appliances,Logitech,5203,42361,61504.68,379,2.5,1 Year,23.51,2024-09-09,19143.68,5
100890,Samsung Earbuds,Mobile,Samsung,5025,44339,60573.7,226,4.6,3 Years,19.3,2020-02-26,16234.7,5
101423,LG Dumbbell,Sports,LG,5292,13890,20313.5,22,2.5,6 Months,10.37,2021-10-24,6423.5,15
100066,Realme Badminton Racket,Sports,Realme,5224,35369,52605.05,238,4.6,3 Years,,2021-10-02,17236.05,20
100125,Dell Yoga Mat,Sports,Dell,5222,6078,9213.55,47,2.7,1 Year,24.39,2025-03-28,3135.55,0
101713,OnePlus Jacket,Fashion,OnePlus,5149,38166,55484.72,411,3.2,6 Months,28.06,2024-01-30,17318.72,10
100496,Asus Python Book,Books,Asus,5252,18893,25214.58,4,4.9,2 Years,9.13,2023-10-30,6321.58,25
101197,HP Router,Electronics,HP,5098,46309,69329.14,162,4.6,No Warranty,,2019-02-02,23020.14,0
100495,Nike Bookshelf,Furniture,Nike,5212,5969,7884.63,187,3.1,1 Year,0.51,2024-11-13,1915.63,5
100412,Boat Watch,Fashion,Boat,5288,46653,54010.3,180,3.7,3 Years,28.29,2023-09-06,7357.3,20
100713,Mi Monitor,Electronics,Mi,5085,43315,66279.76,155,3.7,6 Months,9.51,2023-05-13,22964.76,20
100753,Adidas Monitor,Electronics,Adidas,5174,11232,15184.24,476,,6 Months,2.87,2024-12-12,3952.24,5
101134,Canon AI Book,Books,Canon,5295,31016,43512.99,92,4.3,3 Years,23.31,2024-11-22,12496.99,10
100454,Boat Refrigerator,Home Appliances,Boat,5118,29818,41693.52,35,3.4,6 Months,3.44,2021-04-08,11875.52,0
101619,LG Power Bank,Mobile,LG,5010,35837,56352.62,371,4.8,3 Years,24.17,2019-12-20,20515.62,0
100030,Havells Mouse,Electronics,Havells,5036,17480,20385.67,178,4.7,1 Year,8.69,2023-11-30,2905.67,20
101592,Realme Refrigerator,Home Appliances,Realme,5168,10906,13829.41,306,4.0,No Warranty,3.2,2019-12-04,2923.41,5
100384,Samsung Mixer Grinder,Home Appliances,Samsung,5274,24688,37976.86,130,4.1,3 Years,29.84,2020-03-18,13288.86,25
100351,Dell Sofa,Furniture,Dell,5018,25973,40294.22,365,3.8,3 Years,24.05,2025-12-15,14321.22,25
101700,Canon Cricket Bat,Sports,Canon,5069,24211,34013.34,177,4.7,No Warranty,9.47,2019-10-18,9802.34,10
101524,Canon Smartphone,Mobile,Canon,5091,48893,73505.8,463,4.4,No Warranty,,2021-07-04,24612.8,0
100057,Canon Sofa,Furniture,Canon,5066,47559,56239.58,239,5.0,3 Years,1.0,2023-06-02,8680.58,5
101117,Sony Jacket,Fashion,Sony,5166,37056,48836.4,448,4.5,6 Months,20.56,2021-03-28,11780.4,15
101456,LG Power Bank,Mobile,LG,5096,46515,74143.27,309,3.7,3 Years,25.98,2019-09-08,27628.27,10
101960,Adidas Sofa,Furniture,Adidas,5147,8620,13356.02,94,2.8,3 Years,7.79,2025-07-12,4736.02,0
100612,Puma Sofa,Furniture,Puma,5156,19053,22554.07,355,4.3,3 Years,7.96,2024-04-22,3501.07,10
101625,Bajaj Power Bank,Mobile,Bajaj,5175,36379,58136.11,371,2.8,No Warranty,23.63,2022-07-22,21757.11,5
101561,Sony Table,Furniture,Sony,5265,14461,22079.39,330,4.0,6 Months,25.41,2023-04-12,7618.39,25
100573,Bajaj Watch,Fashion,Bajaj,5253,34159,50029.01,254,4.5,3 Years,7.14,2022-04-04,15870.01,20
101365,Puma Dumbbell,Sports,Puma,5035,13780,21517.83,313,2.6,2 Years,4.38,2024-05-23,7737.83,10
100866,Dell Mixer Grinder,Home Appliances,Dell,5257,23633,36648.59,150,3.8,No Warranty,23.62,2021-07-21,13015.59,10
101573,Boat Microwave,Home Appliances,Boat,5111,32030,38415.23,8,3.6,6 Months,13.61,2025-08-15,6385.23,30
101271,Sony Jacket,Fashion,Sony,5229,19317,24695.68,8,3.3,No Warranty,17.95,2023-01-03,5378.68,20
100211,HP Refrigerator,Home Appliances,HP,5132,21771,25716.93,234,4.3,No Warranty,22.15,2022-04-23,3945.93,25
101243,Havells Mouse,Electronics,Havells,5089,9767,14303.56,42,3.6,1 Year,18.33,2024-09-01,4536.56,20
100232,Lenovo Watch,Fashion,Lenovo,5170,25555,31213.62,104,4.1,2 Years,25.44,2020-01-14,5658.62,0
101467,LG Refrigerator,Home Appliances,LG,5222,31985,44888.15,255,3.6,6 Months,14.72,2019-09-02,12903.15,25
101945,Canon Yoga Mat,Sports,Canon,5087,3637,5249.53,90,4.1,2 Years,21.57,2023-02-28,1612.53,0
101872,Canon T-Shirt,Fashion,Canon,5294,31918,35232.34,12,3.3,6 Months,9.1,2025-07-05,3314.34,15
101552,LG Power Bank,Mobile,LG,5083,35601,50131.49,488,2.7,3 Years,29.36,2022-01-09,14530.49,30
101458,Dell Football,Sports,Dell,5117,12433,14839.08,164,2.9,3 Years,9.04,2023-08-16,2406.08,10
101461,Boat Desktop,Electronics,Boat,5186,38644,57413.12,468,4.2,3 Years,20.41,2019-09-27,18769.12,10
100306,HP Badminton Racket,Sports,HP,5140,2023,2564.16,219,3.8,1 Year,21.43,2025-06-19,541.16,15
101121,Nike Jacket,Fashion,Nike,5279,38132,51710.93,65,4.7,1 Year,1.8,2023-05-28,13578.93,0
100212,LG Backpack,Fashion,LG,5208,11601,16304.94,327,4.6,3 Years,9.97,2023-06-30,4703.94,10
100071,Logitech Jacket,Fashion,Logitech,5233,48985,67363.89,180,,1 Year,7.07,2021-02-27,18378.89,15
100112,Samsung Smartphone,Mobile,Samsung,5050,20046,32032.78,59,3.1,3 Years,4.24,2024-02-02,11986.78,0
100423,Havells Charger,Mobile,Havells,5005,31220,49899.41,421,2.8,1 Year,13.48,2025-11-18,18679.41,20
101653,HP Desktop,Electronics,HP,5211,37138,57488.24,118,4.7,6 Months,14.12,2024-12-31,20350.24,0
100317,Adidas Smartwatch,Mobile,Adidas,5168,20744,32423.31,201,3.3,1 Year,7.16,2021-04-10,11679.31,0
101673,Dell Novel,Books,Dell,5300,21235,25109.58,380,2.7,6 Months,14.53,2020-02-07,3874.58,5
101661,Philips Chair,Furniture,Philips,5061,14886,20979.18,16,4.3,6 Months,11.13,2022-05-12,6093.18,20
101557,Realme Wardrobe,Furniture,Realme,5040,13565,17451.11,360,,2 Years,,2023-07-13,3886.11,15
100298,Puma Novel,Books,Puma,5097,13564,18431.77,260,4.4,1 Year,19.46,2021-09-07,4867.77,15
100944,LG Tablet,Mobile,LG,5295,48289,68841.72,185,2.8,6 Months,11.42,2023-10-16,20552.72,15
101493,Samsung Smartphone,Mobile,Samsung,5106,25492,38297.09,380,3.0,3 Years,22.12,2022-05-08,12805.09,0
100345,Puma Mixer Grinder,Home Appliances,Puma,5202,19590,23875.79,25,3.9,2 Years,4.78,2023-01-17,4285.79,25
101290,Apple Router,Electronics,Apple,5292,21400,30064.99,85,4.1,No Warranty,28.57,2019-04-04,8664.99,5
100562,Canon Jeans,Fashion,Canon,5088,36167,46666.41,393,4.8,3 Years,26.16,2020-09-06,10499.41,30
101289,Logitech Bookshelf,Furniture,Logitech,5015,27511,35905.9,325,4.0,6 Months,18.37,2024-08-23,8394.9,20
101413,Havells Router,Electronics,Havells,5190,34439,52506.06,260,4.2,No Warranty,27.34,2020-02-09,18067.06,0
100299,HP Wardrobe,Furniture,HP,5037,15899,21460.33,304,3.8,No Warranty,29.61,2022-07-20,5561.33,10
101068,HP Bookshelf,Furniture,HP,5093,7117,8333.42,134,2.7,2 Years,25.37,2021-05-01,1216.42,30
100923,Canon Novel,Books,Canon,5137,39617,53880.59,492,4.8,2 Years,22.76,2025-10-11,14263.59,30
100472,Dell Keyboard,Electronics,Dell,5118,25178,35672.97,112,4.5,2 Years,28.67,2024-10-16,10494.97,20
101291,Canon Dumbbell,Sports,Canon,5083,36279,49182.27,98,3.6,6 Months,5.42,2021-03-29,12903.27,0
101732,Lenovo Speaker,Electronics,Lenovo,5211,47680,62060.75,441,4.2,3 Years,4.29,2019-03-21,14380.75,20
101563,Philips Jacket,Fashion,Philips,5224,9866,12298.72,439,3.2,6 Months,7.03,2022-06-30,2432.72,10
101492,HP Vacuum Cleaner,Home Appliances,HP,5229,42728,53097.7,14,4.0,3 Years,23.15,2021-04-18,10369.7,30
101250,Logitech Jeans,Fashion,Logitech,5148,22835,32494.3,349,3.0,3 Years,16.64,2022-01-06,9659.3,30
100070,Dell Chair,Furniture,Dell,5125,19383,23468.9,354,3.3,3 Years,11.2,2025-03-17,4085.9,30
100585,Boat Desktop,Electronics,Boat,5267,30697,47414.37,52,4.4,1 Year,0.87,2022-07-02,16717.37,30
101484,Bajaj Monitor,Electronics,Bajaj,5078,4286,6701.05,71,2.8,6 Months,28.22,2021-08-20,2415.05,0
100860,LG Sneakers,Fashion,LG,5034,47764,54484.58,240,2.9,2 Years,22.59,2024-09-16,6720.58,5
101504,Samsung Novel,Books,Samsung,5287,37010,56169.94,222,4.9,2 Years,23.8,2019-07-13,19159.94,20
100100,Nike Table,Furniture,Nike,5093,34910,45593.36,349,2.9,No Warranty,18.36,2023-04-16,10683.36,30
101754,Philips Chair,Furniture,Philips,5121,6107,7807.61,91,4.7,2 Years,13.54,2024-05-10,1700.61,20
101988,Puma Table,Furniture,Puma,5116,39726,58997.29,367,3.9,1 Year,0.45,2025-10-12,19271.29,10
100789,LG Football,Sports,LG,5227,23800,28048.69,149,4.4,2 Years,22.03,2020-02-11,4248.69,10
101542,Puma Smartwatch,Mobile,Puma,5211,12672,19171.06,265,3.2,3 Years,12.83,2021-02-10,6499.06,0
101095,Puma Table,Furniture,Puma,5237,37930,54019.58,75,4.7,No Warranty,7.37,2024-03-02,16089.58,5
100728,LG Monitor,Electronics,LG,5159,1915,2341.65,423,3.7,3 Years,29.74,2023-09-25,426.65,5
101011,Asus Table,Furniture,Asus,5197,43049,53528.12,471,4.2,No Warranty,14.86,2020-03-27,10479.12,0
101629,HP Watch,Fashion,HP,5136,23858,27596.24,499,4.4,1 Year,26.67,2021-01-18,3738.24,0
100308,OnePlus Novel,Books,OnePlus,5261,44279,64708.85,116,2.5,No Warranty,7.49,2024-04-16,20429.85,15
100933,Nike Printer,Electronics,Nike,5034,37846,56132.0,307,,2 Years,27.32,2023-04-13,18286.0,5
100766,Adidas Wardrobe,Furniture,Adidas,5217,37000,51806.3,46,4.5,3 Years,5.75,2023-10-11,14806.3,25
100862,OnePlus Sofa,Furniture,OnePlus,5299,26376,37428.94,404,4.1,6 Months,6.74,2021-04-11,11052.94,15
101178,Puma Charger,Mobile,Puma,5186,16092,20345.8,409,3.1,1 Year,22.5,2020-04-17,4253.8,10
100809,Lenovo Python Book,Books,Lenovo,5157,38741,50784.74,479,4.7,6 Months,5.66,2024-06-25,12043.74,15
101957,Samsung Sofa,Furniture,Samsung,5257,45677,70695.17,245,3.2,6 Months,21.56,2021-06-11,25018.17,20
101744,Havells Smartphone,Mobile,Havells,5210,11714,16068.75,163,2.6,6 Months,17.26,2024-01-16,4354.75,25
101382,Sony Refrigerator,Home Appliances,Sony,5298,21252,23546.44,97,3.3,3 Years,21.07,2025-04-14,2294.44,30
100325,Sony Yoga Mat,Sports,Sony,5141,23296,28126.61,95,3.2,6 Months,1.23,2025-12-11,4830.61,15
100394,Samsung Monitor,Electronics,Samsung,5248,10546,12147.48,466,4.5,2 Years,5.6,2023-04-05,1601.48,5
100788,HP AI Book,Books,HP,5053,7039,10493.93,312,4.6,No Warranty,15.32,2020-11-15,3454.93,25
100415,Philips Printer,Electronics,Philips,5288,6816,9597.3,345,4.7,3 Years,11.79,2024-09-23,2781.3,25
100238,Logitech Watch,Fashion,Logitech,5118,19445,22871.32,168,3.4,6 Months,15.08,2022-10-14,3426.32,15
100421,Mi Bookshelf,Furniture,Mi,5163,23567,26782.49,362,3.8,6 Months,15.71,2024-08-31,3215.49,0
100383,Apple Power Bank,Mobile,Apple,5109,15069,18266.05,67,4.3,3 Years,15.24,2020-05-19,3197.05,30
100989,Asus Air Conditioner,Home Appliances,Asus,5191,48788,72665.05,270,3.1,1 Year,6.46,2023-04-23,23877.05,30
101614,Boat Bookshelf,Furniture,Boat,5008,11715,16079.21,102,4.2,No Warranty,10.0,2021-10-02,4364.21,5
101695,Boat Office Desk,Furniture,Boat,5018,14892,16673.17,208,4.3,No Warranty,27.56,2025-11-11,1781.17,10
100745,Realme Backpack,Fashion,Realme,5237,41166,49990.08,45,3.0,6 Months,1.68,2025-12-06,8824.08,5
100932,Adidas Earbuds,Mobile,Adidas,5064,43742,58533.41,459,4.2,3 Years,19.08,2024-07-08,14791.41,5
101054,Havells Air Conditioner,Home Appliances,Havells,5234,8275,11995.92,332,3.5,1 Year,10.7,2025-01-30,3720.92,20
101335,OnePlus Refrigerator,Home Appliances,OnePlus,5235,44306,65745.2,272,4.1,6 Months,23.14,2025-06-10,21439.2,20
100257,Sony Smartphone,Mobile,Sony,5248,28586,35388.92,153,4.5,1 Year,7.7,2021-10-07,6802.92,0
101743,Bajaj Mixer Grinder,Home Appliances,Bajaj,5120,48021,69313.01,224,4.4,6 Months,26.27,2025-01-18,21292.01,10
100693,Mi Data Science Book,Books,Mi,5214,46123,68176.87,58,3.7,No Warranty,3.67,2020-06-21,22053.87,25
101308,Nike Cricket Bat,Sports,Nike,5021,45296,66072.83,90,4.9,1 Year,16.65,2020-01-10,20776.83,5
100620,Logitech Badminton Racket,Sports,Logitech,5140,40108,62529.21,439,3.3,1 Year,24.11,2021-11-11,22421.21,20
101209,Havells Laptop,Electronics,Havells,5081,13892,17796.33,101,4.6,2 Years,25.82,2021-07-28,3904.33,15
101588,Mi Monitor,Electronics,Mi,5128,14755,22460.71,112,3.7,6 Months,27.8,2025-01-29,7705.71,30
100758,Dell Printer,Electronics,Dell,5087,13451,20635.0,92,4.4,1 Year,16.98,2025-07-26,7184.0,5
100614,Adidas SQL Book,Books,Adidas,5132,8786,12369.8,140,2.5,No Warranty,,2025-08-20,3583.8,15
101668,Canon Sneakers,Fashion,Canon,5070,42675,59332.38,377,2.6,6 Months,16.26,2021-08-07,16657.38,15
101738,Asus Watch,Fashion,Asus,5230,24740,28714.04,111,2.7,3 Years,9.04,2021-12-19,3974.04,10
100481,Logitech Table,Furniture,Logitech,5206,46021,67931.5,186,3.2,6 Months,17.23,2025-06-16,21910.5,15
101310,Mi Chair,Furniture,Mi,5038,3447,4341.25,324,3.0,No Warranty,13.37,2024-05-03,894.25,20
100539,LG Printer,Electronics,LG,5280,48597,66529.43,104,3.8,1 Year,16.55,2025-12-26,17932.43,30
100977,Philips Speaker,Electronics,Philips,5223,10705,12524.18,382,2.5,6 Months,3.5,2022-03-12,1819.18,5
100756,Philips Backpack,Fashion,Philips,5118,3587,4284.53,27,3.0,2 Years,7.95,2024-03-28,697.53,10
100904,LG Monitor,Electronics,LG,5282,8328,9542.89,303,4.6,6 Months,7.24,2019-11-17,1214.89,30
100833,LG Smartphone,Mobile,LG,5143,41940,54439.93,445,3.9,2 Years,5.28,2021-03-04,12499.93,5
100905,Philips Office Desk,Furniture,Philips,5126,20512,24246.81,101,3.6,3 Years,7.62,2022-03-14,3734.81,0
101273,Asus Sofa,Furniture,Asus,5269,30117,43503.89,124,3.9,No Warranty,2.48,2023-03-07,13386.89,0
100608,OnePlus Bookshelf,Furniture,OnePlus,5291,24149,26967.94,19,3.7,1 Year,3.57,2024-05-26,2818.94,30
100694,Asus Speaker,Electronics,Asus,5227,20519,29660.73,71,4.7,3 Years,15.79,2022-11-02,9141.73,20
101886,Havells Air Conditioner,Home Appliances,Havells,5286,11557,14502.67,63,4.2,6 Months,15.2,2021-11-03,2945.67,0
101533,Lenovo Novel,Books,Lenovo,5075,43817,50980.11,261,4.7,No Warranty,14.44,2019-10-25,7163.11,5
100116,Apple Dumbbell,Sports,Apple,5065,3414,5098.46,124,4.5,6 Months,2.24,2025-03-20,1684.46,20
100592,Bajaj Yoga Mat,Sports,Bajaj,5133,15284,24052.8,73,4.8,2 Years,5.66,2022-09-15,8768.8,5
101842,Sony Data Science Book,Books,Sony,5082,7026,8041.34,28,4.2,No Warranty,19.0,2021-11-28,1015.34,10
100939,OnePlus Mixer Grinder,Home Appliances,OnePlus,5254,31444,44510.19,110,3.2,2 Years,1.95,2022-09-26,13066.19,25
101655,Samsung Microwave,Home Appliances,Samsung,5210,16907,18696.59,300,2.8,1 Year,19.36,2024-01-17,1789.59,5
100582,Puma Charger,Mobile,Puma,5020,11569,13375.1,401,4.4,No Warranty,13.42,2019-04-13,1806.1,5
100252,OnePlus Earbuds,Mobile,OnePlus,5152,43397,55983.71,395,4.5,No Warranty,2.64,2020-09-23,12586.71,5
101034,Lenovo Refrigerator,Home Appliances,Lenovo,5048,44820,59680.21,453,4.9,6 Months,26.56,2020-07-30,14860.21,0
101236,LG Yoga Mat,Sports,LG,5098,40534,55932.75,471,3.5,6 Months,28.01,2019-02-13,15398.75,15
101311,Mi Smartphone,Mobile,Mi,5154,38725,46760.32,249,3.9,3 Years,13.01,2020-04-01,8035.32,10
100353,LG Yoga Mat,Sports,LG,5133,41205,48372.16,304,3.3,No Warranty,2.79,2025-03-28,7167.16,25
100549,Sony Dumbbell,Sports,Sony,5061,20907,23706.59,272,3.0,6 Months,21.87,2022-07-29,2799.59,5
100121,Canon Speaker,Electronics,Canon,5228,28036,40457.31,251,2.7,No Warranty,9.8,2020-08-30,12421.31,0
101511,Sony Backpack,Fashion,Sony,5172,48577,58942.9,363,3.7,1 Year,22.01,2023-03-10,10365.9,10
100290,Sony Desktop,Electronics,Sony,5220,29020,38546.08,490,3.0,6 Months,26.49,2022-05-21,9526.08,0
101223,Apple Wardrobe,Furniture,Apple,5139,19547,22650.9,150,3.8,3 Years,26.71,2025-04-28,3103.9,10
101564,Dell Charger,Mobile,Dell,5027,15292,23487.06,317,3.9,6 Months,8.79,2024-04-10,8195.06,15
100213,Sony Football,Sports,Sony,5128,9315,12470.24,479,2.5,2 Years,7.22,2021-12-29,3155.24,5
100136,Philips Chair,Furniture,Philips,5220,5202,7964.55,294,3.9,2 Years,8.83,2023-07-18,2762.55,5
101331,Boat Ceiling Fan,Home Appliances,Boat,5290,41674,47239.76,38,2.7,3 Years,23.46,2024-12-18,5565.76,25
101627,Canon Badminton Racket,Sports,Canon,5211,10129,12563.34,435,5.0,3 Years,11.04,2024-08-02,2434.34,0
101556,LG Keyboard,Electronics,LG,5269,44226,59517.58,404,,No Warranty,15.07,2025-11-26,15291.58,0
100352,Philips Smartphone,Mobile,Philips,5109,11429,17995.31,85,4.5,6 Months,1.47,2019-11-17,6566.31,15
101180,Realme Yoga Mat,Sports,Realme,5118,15196,20126.86,214,3.9,6 Months,27.79,2021-09-30,4930.86,20
100737,Asus Mixer Grinder,Home Appliances,Asus,5122,45008,52255.5,443,4.6,2 Years,0.43,2023-05-29,7247.5,20
100731,Dell Mixer Grinder,Home Appliances,Dell,5072,26110,41033.98,370,3.1,3 Years,22.09,2020-05-09,14923.98,25
100675,Puma Jacket,Fashion,Puma,5294,31158,48232.23,496,4.2,3 Years,21.91,2023-12-16,17074.23,30
100110,OnePlus Badminton Racket,Sports,OnePlus,5191,25070,37886.0,481,2.8,6 Months,14.25,2025-12-12,12816.0,20
101775,Logitech AI Book,Books,Logitech,5299,3925,6192.76,442,3.8,2 Years,16.26,2022-02-18,2267.76,30
101940,Boat Refrigerator,Home Appliances,Boat,5153,15032,19411.01,408,3.5,6 Months,16.3,2022-09-17,4379.01,0
100276,OnePlus Jeans,Fashion,OnePlus,5276,25246,33110.62,249,4.2,6 Months,16.74,2024-06-28,7864.62,15
101380,Dell AI Book,Books,Dell,5117,21973,28035.4,275,3.3,1 Year,3.22,2020-01-06,6062.4,25
101468,Dell Microwave,Home Appliances,Dell,5149,21286,30928.81,311,2.9,3 Years,28.31,2021-06-05,9642.81,20
101176,Canon Monitor,Electronics,Canon,5115,42646,48583.28,39,,3 Years,18.98,2023-09-09,5937.28,30
101290,Apple Router,Electronics,Apple,5292,21400,30064.99,85,4.1,No Warranty,28.57,2019-04-04,8664.99,5
101503,Bajaj Badminton Racket,Sports,Bajaj,5140,13384,20088.99,12,4.9,6 Months,7.2,2024-01-09,6704.99,0
100983,HP Power Bank,Mobile,HP,5093,46050,67473.77,312,3.0,3 Years,18.94,2020-09-01,21423.77,5
100343,Mi Football,Sports,Mi,5248,6201,7868.92,314,4.3,2 Years,28.28,2020-11-06,1667.92,10
100786,Samsung Data Science Book,Books,Samsung,5117,4272,5420.6,58,2.8,6 Months,14.69,2022-10-25,1148.6,10
100508,Realme Speaker,Electronics,Realme,5128,10257,13187.42,45,2.9,No Warranty,20.64,2022-10-18,2930.42,15
100355,Lenovo Router,Electronics,Lenovo,5052,9812,13572.91,298,4.8,3 Years,23.43,2022-03-17,3760.91,25
100746,Adidas Bookshelf,Furniture,Adidas,5088,9881,11309.11,188,4.9,No Warranty,0.62,2024-11-23,1428.11,15
101115,Adidas Smartphone,Mobile,Adidas,5222,9448,15097.5,100,4.0,No Warranty,8.87,2019-05-12,5649.5,30
101375,HP Backpack,Fashion,HP,5123,37824,43401.41,494,,3 Years,12.77,2023-06-01,5577.41,15
100484,OnePlus Ceiling Fan,Home Appliances,OnePlus,5084,3226,4191.22,353,2.7,1 Year,14.4,2020-01-30,965.22,30
100255,Realme T-Shirt,Fashion,Realme,5198,39293,58633.78,442,2.5,2 Years,11.76,2019-12-13,19340.78,20
101822,Asus Bookshelf,Furniture,Asus,5089,24477,30413.21,431,4.9,1 Year,14.49,2020-03-11,5936.21,5
100434,Havells Power Bank,Mobile,Havells,5130,9435,11137.8,113,3.0,6 Months,20.2,2025-05-12,1702.8,10
100545,Adidas Charger,Mobile,Adidas,5199,4163,5881.89,449,4.7,No Warranty,28.34,2022-02-21,1718.89,5
100307,Bajaj Football,Sports,Bajaj,5256,29931,40568.21,28,4.6,6 Months,11.16,2021-11-10,10637.21,30
100428,Boat Speaker,Electronics,Boat,5092,2582,2953.19,27,4.5,3 Years,2.3,2021-07-21,371.19,15
100988,Adidas Table,Furniture,Adidas,5058,32296,41396.71,155,2.7,No Warranty,20.55,2020-06-17,9100.71,25
100276,OnePlus Jeans,Fashion,OnePlus,5276,25246,33110.62,249,4.2,6 Months,16.74,2024-06-28,7864.62,15
101804,OnePlus Monitor,Electronics,OnePlus,5179,11075,16497.43,373,4.2,No Warranty,9.22,2024-05-11,5422.43,15
100568,Puma Tablet,Mobile,Puma,5294,40148,57430.2,358,4.5,6 Months,29.0,2025-06-29,17282.2,25
101119,HP AI Book,Books,HP,5161,9183,12519.05,355,3.8,1 Year,14.16,2023-10-18,3336.05,30
101840,Realme Dumbbell,Sports,Realme,5059,19046,26501.21,466,5.0,,24.25,2019-10-02,7455.21,5
101421,LG Speaker,Electronics,LG,5241,8430,11457.32,18,3.7,No Warranty,7.01,2023-05-09,3027.32,5
100417,Philips Charger,Mobile,Philips,5189,14881,23151.01,360,4.4,3 Years,22.21,2021-03-15,8270.01,15
100240,Havells Football,Sports,Havells,5025,2316,3519.24,38,4.4,2 Years,4.3,2021-08-05,1203.24,10
100433,Samsung Smartphone,Mobile,Samsung,5276,429,594.75,201,3.9,No Warranty,9.28,2022-11-09,165.75,0
100050,Mi Chair,Furniture,Mi,5234,16431,25611.57,62,2.8,2 Years,20.09,2025-04-08,9180.57,10
101371,Dell T-Shirt,Fashion,Dell,5186,48056,67358.08,306,3.1,2 Years,25.13,2023-11-07,19302.08,5
100807,Sony Chair,Furniture,Sony,5061,36736,47193.49,487,4.0,2 Years,3.49,2023-02-22,10457.49,0
100271,Sony Power Bank,Mobile,Sony,5203,12315,17490.25,221,2.6,3 Years,26.52,2024-01-16,5175.25,20
101478,LG Football,Sports,LG,5128,34408,51592.19,144,4.5,2 Years,21.08,2019-02-14,17184.19,20
101613,Samsung Data Science Book,Books,Samsung,5274,32647,52053.49,109,4.2,1 Year,23.43,2021-08-19,19406.49,0
101445,OnePlus Speaker,Electronics,OnePlus,5190,22633,34918.24,43,2.7,6 Months,18.8,2023-06-01,12285.24,30
100803,Lenovo Chair,Furniture,Lenovo,5042,46738,61359.8,210,2.7,2 Years,26.68,2024-05-04,14621.8,10
101482,Asus Sneakers,Fashion,Asus,5193,9389,11807.93,368,3.9,2 Years,19.46,2023-06-09,2418.93,15
100174,Apple Smartphone,Mobile,Apple,5199,48313,57638.57,265,4.8,No Warranty,8.0,2021-12-02,9325.57,15
100577,Sony T-Shirt,Fashion,Sony,5246,12815,16214.27,173,4.8,No Warranty,19.44,2024-05-26,3399.27,25
100813,Adidas Yoga Mat,Sports,Adidas,5013,42430,48551.16,84,3.9,1 Year,16.92,2020-05-22,6121.16,25
100322,Samsung Laptop,Electronics,Samsung,5206,14667,17092.3,421,3.4,No Warranty,17.55,2021-11-26,2425.3,5
100248,Sony Football,Sports,Sony,5074,20710,22943.14,106,4.4,2 Years,27.88,2022-05-10,2233.14,15
100463,Havells Mouse,Electronics,Havells,5282,26351,39343.11,410,4.0,No Warranty,4.99,2019-01-22,12992.11,10
